date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:20	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:17%20GMT	http://kiviki.in/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/fa-solid-900.woff2	(from http://kiviki.in/css/fontawesome-all.min.css)
13:56:21	702/702	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:23:20%20GMT	http://kiviki.in/images/shapes/banner-1-shape-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/banner-1-shape-1.png	(from http://kiviki.in/css/main.css)
13:56:24	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:21%20GMT	http://kiviki.in/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/fa-solid-900.woff	(from http://kiviki.in/css/fontawesome-all.min.css)
13:56:25	1776/1776	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:24:20%20GMT	http://kiviki.in/images/shapes/ripped-paper-slider-2.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-slider-2.png	(from http://kiviki.in/css/main.css)
13:56:28	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:25%20GMT	http://kiviki.in/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/fa-solid-900.ttf	(from http://kiviki.in/css/fontawesome-all.min.css)
13:56:29	1182/1182	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:15:14%20GMT	http://kiviki.in/images/icons/main-slider-icon-2-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/icons/main-slider-icon-2-1.png	(from http://kiviki.in/css/main.css)
13:56:33	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:29%20GMT	http://kiviki.in/fonts/agrikon-icon.eot?9nn143	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/agrikon-icon0ef8.eot	(from http://kiviki.in/css/agrikon-icons.css)
13:56:33	1175/1175	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:15:16%20GMT	http://kiviki.in/images/icons/main-slider-icon-2-2.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/icons/main-slider-icon-2-2.png	(from http://kiviki.in/css/main.css)
13:56:37	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:34%20GMT	http://kiviki.in/fonts/agrikon-icon.ttf?9nn143	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/agrikon-icon0ef8.ttf	(from http://kiviki.in/css/agrikon-icons.css)
13:56:37	1775/1775	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:23:20%20GMT	http://kiviki.in/images/shapes/ripped-paper-base-2.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-base-2.png	(from http://kiviki.in/css/main.css)
13:56:38	400840/400840	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Oct%202020%2005:48:14%20GMT	http://kiviki.in/fonts/fa-light-300.eot?	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/fa-light-300d41d.eot	(from http://kiviki.in/css/fontawesome-all.min.css)
13:56:39	1775/1775	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:23:20%20GMT	http://kiviki.in/images/shapes/ripped-paper-base.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-base.png	(from http://kiviki.in/css/main.css)
13:56:42	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:38%20GMT	http://kiviki.in/fonts/agrikon-icon.woff?9nn143	C:/My%20Web%20Sites/kiviki2/kiviki.in/fonts/agrikon-icon0ef8.woff	(from http://kiviki.in/css/agrikon-icons.css)
13:56:43	4861/4861	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Dec%202020%2012:39:12%20GMT	http://kiviki.in/images/shapes/ripped-paper-primary-up.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-primary-up.png	(from http://kiviki.in/css/main.css)
13:56:44	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:39%20GMT	http://kiviki.in/images/shapes/ripped-paper-white-up.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-white-up.png	(from http://kiviki.in/css/main.css)
13:56:45	1780/1780	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:23:20%20GMT	http://kiviki.in/images/shapes/ripped-paper-gray-up.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-gray-up.png	(from http://kiviki.in/css/main.css)
13:56:47	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:43%20GMT	http://kiviki.in/images/shapes/ripped-paper-header-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-header-1.png	(from http://kiviki.in/css/main.css)
13:56:49	2677/2677	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:23:20%20GMT	http://kiviki.in/images/shapes/about-circle-1-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/about-circle-1-1.png	(from http://kiviki.in/css/main.css)
13:56:50	63811/63811	UR-MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:26:45%20GMT	http://kiviki.in/images/shapes/header-arrow-1-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/header-arrow-1-1.png	(from http://kiviki.in/css/main.css)
13:56:51	1780/1780	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202020%2015:24:20%20GMT	http://kiviki.in/images/shapes/ripped-paper-testimonials-1.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/shapes/ripped-paper-testimonials-1.png	(from http://kiviki.in/css/main.css)
